teacherId,teacherName,className,grade,email,apiKey,role,active,createdAt,updatedAt
T101,一年一班導師,一年一班,1,,HC101@Read26,teacher,TRUE,,
T102,一年二班導師,一年二班,1,,HC102@Read26,teacher,TRUE,,
T103,一年三班導師,一年三班,1,,HC103@Read26,teacher,TRUE,,
T104,一年四班導師,一年四班,1,,HC104@Read26,teacher,TRUE,,
T105,一年五班導師,一年五班,1,,HC105@Read26,teacher,TRUE,,
T106,一年六班導師,一年六班,1,,HC106@Read26,teacher,TRUE,,
T107,一年七班導師,一年七班,1,,HC107@Read26,teacher,TRUE,,
T108,一年八班導師,一年八班,1,,HC108@Read26,teacher,TRUE,,
T201,二年一班導師,二年一班,2,,HC201@Read26,teacher,TRUE,,
T202,二年二班導師,二年二班,2,,HC202@Read26,teacher,TRUE,,
T203,二年三班導師,二年三班,2,,HC203@Read26,teacher,TRUE,,
T204,二年四班導師,二年四班,2,,HC204@Read26,teacher,TRUE,,
T205,二年五班導師,二年五班,2,,HC205@Read26,teacher,TRUE,,
T206,二年六班導師,二年六班,2,,HC206@Read26,teacher,TRUE,,
T207,二年七班導師,二年七班,2,,HC207@Read26,teacher,TRUE,,
T208,二年八班導師,二年八班,2,,HC208@Read26,teacher,TRUE,,
T301,三年一班導師,三年一班,3,,HC301@Read26,teacher,TRUE,,
T302,三年二班導師,三年二班,3,,HC302@Read26,teacher,TRUE,,
T303,三年三班導師,三年三班,3,,HC303@Read26,teacher,TRUE,,
T304,三年四班導師,三年四班,3,,HC304@Read26,teacher,TRUE,,
T305,三年五班導師,三年五班,3,,HC305@Read26,teacher,TRUE,,
T306,三年六班導師,三年六班,3,,HC306@Read26,teacher,TRUE,,
T307,三年七班導師,三年七班,3,,HC307@Read26,teacher,TRUE,,
T308,三年八班導師,三年八班,3,,HC308@Read26,teacher,TRUE,,
T401,四年一班導師,四年一班,4,,HC401@Read26,teacher,TRUE,,
T402,四年二班導師,四年二班,4,,HC402@Read26,teacher,TRUE,,
T403,四年三班導師,四年三班,4,,HC403@Read26,teacher,TRUE,,
T404,四年四班導師,四年四班,4,,HC404@Read26,teacher,TRUE,,
T405,四年五班導師,四年五班,4,,HC405@Read26,teacher,TRUE,,
T406,四年六班導師,四年六班,4,,HC406@Read26,teacher,TRUE,,
T407,四年七班導師,四年七班,4,,HC407@Read26,teacher,TRUE,,
T408,四年八班導師,四年八班,4,,HC408@Read26,teacher,TRUE,,
T501,五年一班導師,五年一班,5,,HC501@Read26,teacher,TRUE,,
T502,五年二班導師,五年二班,5,,HC502@Read26,teacher,TRUE,,
T503,五年三班導師,五年三班,5,,HC503@Read26,teacher,TRUE,,
T504,五年四班導師,五年四班,5,,HC504@Read26,teacher,TRUE,,
T505,五年五班導師,五年五班,5,,HC505@Read26,teacher,TRUE,,
T506,五年六班導師,五年六班,5,,HC506@Read26,teacher,TRUE,,
T507,五年七班導師,五年七班,5,,HC507@Read26,teacher,TRUE,,
T508,五年八班導師,五年八班,5,,HC508@Read26,teacher,TRUE,,
T601,六年一班導師,六年一班,6,,HC601@Read26,teacher,TRUE,,
T602,六年二班導師,六年二班,6,,HC602@Read26,teacher,TRUE,,
T603,六年三班導師,六年三班,6,,HC603@Read26,teacher,TRUE,,
T604,六年四班導師,六年四班,6,,HC604@Read26,teacher,TRUE,,
T605,六年五班導師,六年五班,6,,HC605@Read26,teacher,TRUE,,
T606,六年六班導師,六年六班,6,,HC606@Read26,teacher,TRUE,,
T607,六年七班導師,六年七班,6,,HC607@Read26,teacher,TRUE,,
T608,六年八班導師,六年八班,6,,HC608@Read26,teacher,TRUE,,
